;OrderID;AccountID;Amount;K_SYMBOL
116;29529;81;62.0;
117;29530;81;229.0;Insurance payment
118;29531;83;2210.0;Household
119;29532;83;3940.0;
120;29533;84;1709.0;Leasing
121;29534;84;12452.0;Household
122;29535;85;3831.0;Household
123;29536;85;1792.0;Leasing
124;29537;86;1002.0;Household
125;29538;86;1160.0;
126;29541;88;2268.0;Household
127;29542;90;2774.0;Household
128;29543;90;2375.0;
129;29544;90;4372.0;Insurance payment
130;29545;90;361.0;
131;29554;96;4422.1;Leasing
132;29555;96;908.0;Household
133;29556;96;2140.0;
134;29557;96;46.0;Insurance payment
135;29558;96;644.0;
136;29559;97;1436.0;Household
137;29560;97;2411.0;
138;29561;97;3.0;Insurance payment
139;29562;97;15.0;
140;29563;97;8573.0;Loan payment
141;29564;98;1569.0;Household
142;29565;98;749.0;Household
143;29566;99;4503.0;Household
144;29567;99;4682.0;
145;29568;100;598.0;Household
146;29569;100;7329.0;
147;29570;101;8037.0;Household
148;29571;101;855.0;
149;29572;102;7370.2;Loan payment
150;29573;102;3373.0;Household
151;29574;102;377.0;
152;29575;103;7370.2;Loan payment
153;29576;104;578.0;Household
154;29577;104;1464.0;
155;29578;105;7348.0;Loan payment
156;29579;106;3735.0;Household
157;29580;107;2015.0;Household
158;29581;107;1580.0;
159;29582;107;959.0;Insurance payment
160;29583;108;4803.0;Household
161;29584;110;3050.0;Household
162;29585;110;98.0;
163;29586;110;4516.0;Loan payment
164;29589;112;2051.0;Household
165;29590;113;3146.0;Household
166;29591;114;1590.0;Household
167;29592;114;533.0;Household
168;29593;115;5110.0;Household
169;29594;116;5529.0;Household
170;29595;116;927.0;Leasing
171;29596;117;2329.0;Household
172;29597;118;2449.0;Household
173;29598;119;8252.0;Household
174;29599;120;1899.0;Leasing
175;29600;120;3965.0;Household
176;29601;121;794.0;Household
177;29602;121;929.0;
178;29603;121;393.0;Insurance payment
179;29604;123;3016.0;Household
180;29605;124;447.0;Household
181;29606;124;575.0;
182;29607;124;971.0;Insurance payment
183;29608;125;4422.1;Leasing
184;29609;126;7384.0;Household
185;29610;127;2242.0;Household
186;29611;129;3417.0;Household
187;29612;130;3969.0;Household
188;29613;131;6904.0;Household
189;29614;132;7370.2;Loan payment
190;29615;133;3094.0;Leasing
191;29616;133;4943.0;Household
192;29617;133;5123.0;
193;29618;136;2932.0;Household
194;29619;137;3464.0;Household
195;29620;137;787.0;
196;29621;141;3016.5;Leasing
197;29622;141;3462.0;Household
198;29623;141;1791.0;
199;29624;141;6716.0;Insurance payment
200;29625;142;1845.0;Household
201;29626;143;2272.0;Household
202;29627;145;4815.0;Household
203;29628;146;3823.0;Household
204;29631;148;487.0;Household
205;29632;148;89.0;
206;29633;148;1736.0;Insurance payment
207;29634;151;411.0;Household
208;29635;151;2668.0;
209;29636;152;426.0;Household
210;29637;152;2993.0;
211;29638;153;4544.0;Household
212;29639;154;3891.0;Household
213;29640;155;2988.0;Household
214;29641;156;2030.0;Household
215;29642;157;3991.0;Household
216;29643;158;3420.0;Household
217;29644;159;8694.0;Household
218;29645;160;2374.0;Household
219;29646;160;5552.0;
220;29647;161;1389.0;Household
221;29648;161;892.0;Household
222;29649;162;3458.0;Household
223;29650;163;3116.0;Household
224;29651;163;612.0;Household
225;29652;165;1788.0;Household
226;29653;166;3044.0;Household
227;29654;168;2013.0;Household
228;29655;169;4975.0;Household
229;29656;169;696.0;Leasing
230;29657;171;3486.0;Household
231;29658;172;4221.0;Household
232;29659;173;6256.0;Household
233;29660;173;1428.0;
234;29661;173;735.0;Insurance payment
235;29662;173;189.0;
236;29663;173;8734.0;Loan payment
237;29664;174;2139.0;Household
238;29667;176;2288.3;Loan payment
239;29668;176;4564.0;Household
240;29669;176;36.0;
241;29670;176;97.0;Insurance payment
242;29671;178;1482.0;Household
243;29672;178;505.0;
244;29673;179;7615.0;Household
245;29674;179;1066.0;
246;29675;179;378.0;Insurance payment
247;29676;179;4608.0;
248;29677;181;6780.0;Household
249;29678;183;5202.0;Household
250;29679;183;752.0;
251;29680;184;1623.0;Leasing
252;29681;185;6526.0;Household
253;29682;186;6862.0;Household
254;29683;187;2798.0;Household
255;29684;188;7426.0;Household
256;29685;189;4244.0;Household
257;29686;189;750.0;
258;29687;189;360.0;Insurance payment
259;29688;190;4519.0;Household
260;29689;190;3233.0;
261;29690;190;42.0;Insurance payment
262;29691;190;1316.0;
263;29692;191;4420.9;Leasing
264;29693;192;3583.0;Household
265;29694;193;7110.0;Household
266;29695;194;2648.0;Household
267;29696;195;6260.0;Household
268;29697;196;1270.0;Household
269;29698;196;4417.0;
270;29699;196;2554.0;Insurance payment
271;29700;196;385.0;
272;29701;197;9454.0;Household
273;29702;198;700.0;Household
274;29703;198;2166.0;Household
275;29704;199;1984.0;Household
276;29705;201;9584.0;Household
277;29711;204;1950.0;Household
278;29712;205;4297.0;Household
279;29713;206;2902.0;Household
280;29714;207;403.0;Household
281;29715;207;10.0;
282;29716;207;2726.0;Insurance payment
283;29717;208;4148.0;Household
284;29718;208;1767.0;
285;29719;208;986.0;Insurance payment
286;29720;208;545.0;
287;29721;209;483.0;Household
288;29722;209;41.0;
289;29723;209;1796.0;Insurance payment
290;29724;210;7534.0;Household
291;29725;211;2394.0;Leasing
292;29726;212;13841.0;Household
293;29727;213;5625.0;Household
294;29728;214;2097.0;Household
295;29729;215;2121.0;Household
296;29730;216;1486.0;Household
297;29731;216;1513.0;Household
298;29732;217;3459.0;Household
299;29733;217;653.0;Leasing
300;29734;218;3182.0;Leasing
301;29735;219;2336.0;Household
302;29736;219;2988.0;
303;29737;220;3095.0;Household
304;29738;221;7896.0;Household
305;29739;222;3440.9;Leasing
306;29740;224;3503.0;Household
307;29741;225;3383.0;Household
308;29742;225;2.0;
309;29743;226;8928.0;Household
310;29744;226;9112.0;Loan payment
311;29745;227;9381.0;Household
312;29746;228;1946.0;Household
313;29747;228;2158.0;
314;29748;229;2505.0;Household
315;29749;230;5615.0;Household
316;29750;230;1527.0;
317;29751;230;1058.0;Insurance payment
318;29752;231;2073.0;Household
319;29753;232;3643.0;Household
320;29755;234;2809.0;Household
321;29756;235;895.0;Household
322;29757;235;1321.0;
323;29758;237;152.0;Household
324;29759;237;1788.0;
325;29760;238;2234.0;Household
326;29761;239;1042.0;Household
327;29762;239;5995.0;
328;29763;239;152.0;Insurance payment
329;29764;240;9621.0;Household
330;29765;240;1050.0;Leasing
331;29766;241;1344.0;Household
332;29767;241;632.0;
333;29768;241;610.0;Insurance payment
334;29769;242;1062.0;Household
335;29770;242;2977.0;
336;29771;243;1041.0;Leasing
337;29772;243;3067.0;Household
338;29773;244;2190.0;Household
339;29774;244;226.0;
340;29775;244;232.0;Insurance payment
341;29776;246;1970.0;Household
342;29780;248;2484.9;Leasing
343;29781;249;5618.0;Household
344;29782;249;1876.0;
345;29783;250;3066.0;Household
346;29784;251;3059.0;Household
347;29785;252;1767.0;Household
348;29788;255;5323.0;Household
349;29789;257;3816.7;Leasing
350;29790;257;14166.0;Household
351;29791;258;3737.0;Household
352;29792;259;297.0;Household
353;29793;259;2857.0;Household
354;29794;260;5247.0;Household
355;29795;261;2182.0;Household
356;29796;261;371.0;
357;29797;263;6145.0;Household
358;29798;264;3307.0;Household
359;29799;265;2900.0;Household
360;29800;266;4975.2;Leasing
361;29801;267;3074.0;Household
362;29802;268;3121.0;Household
363;29803;269;456.0;Household
364;29804;269;1690.0;
365;29805;270;5462.0;Household
366;29806;271;1535.0;Household
367;29807;272;7454.0;Household
368;29808;273;1320.1;Leasing
369;29809;273;5965.0;Household
370;29810;273;178.0;
371;29811;273;1836.0;Insurance payment
372;29812;274;9886.0;Household
373;29813;275;198.0;Household
374;29814;275;2062.0;
375;29815;276;4470.5;Loan payment
376;29816;276;5212.0;Household
377;29817;277;2682.3;Leasing
378;29818;278;3362.0;Household
379;29819;278;676.0;Leasing
380;29820;279;624.0;Household
381;29821;279;1380.0;
382;29822;280;3334.0;Household
383;29823;280;4694.0;
384;29824;280;957.0;Leasing
385;29825;281;5578.0;Household
386;29826;282;7531.0;Household
387;29827;282;802.0;
388;29828;283;2802.0;Household
389;29829;284;5629.0;Household
390;29830;285;667.0;Leasing
391;29831;286;9848.0;Household
392;29832;287;772.0;Household
393;29833;287;1572.0;Household
394;29834;288;3257.0;Household
395;29835;288;207.0;Household
396;29836;289;5745.0;Household
397;29837;289;2621.0;
398;29838;290;2577.0;Loan payment
399;29839;290;2653.0;Household
400;29840;290;3274.0;
401;29841;291;1941.9;Leasing
402;29842;291;62.0;Household
403;29843;291;12925.0;
404;29844;292;1986.0;Household
405;29845;293;1636.0;Household
406;29846;293;845.0;
407;29847;293;1366.0;Insurance payment
408;29848;294;5842.0;Household
409;29849;294;145.0;
410;29850;294;430.0;Insurance payment
411;29851;294;156.0;
412;29852;295;6992.0;Household
413;29853;296;2646.0;Household
414;29854;300;1628.0;Household
415;29855;301;1950.0;Household
416;29856;302;3236.0;Household
417;29857;303;3803.0;Household
418;29858;303;3132.0;Loan payment
419;29859;304;14367.0;Household
420;29860;305;2953.0;Household
421;29861;306;3657.0;Household
422;29862;308;1284.0;Leasing
423;29863;309;1901.0;Loan payment
424;29865;311;4777.0;Household
425;29866;311;371.0;
426;29867;311;3375.0;Insurance payment
427;29868;311;355.0;
428;29869;311;422.0;Loan payment
429;29870;312;7814.0;Household
430;29871;313;2294.0;Household
431;29872;314;2785.0;Loan payment
432;29873;314;13691.0;Household
433;29874;315;3509.0;Loan payment
434;29875;317;3068.0;Household
435;29876;318;2858.0;Household
436;29877;319;6149.5;Loan payment
437;29878;319;1057.0;Household
438;29879;319;2196.0;
439;29880;319;416.0;Insurance payment
440;29881;321;1876.0;Household
441;29882;322;6550.0;Household
442;29883;323;3025.0;Household
443;29884;324;1785.0;Household
444;29885;324;284.0;Household
445;29886;325;2741.0;Household
446;29887;326;1881.0;Household
447;29888;326;1567.0;Household
448;29889;327;3252.0;Household
449;29890;327;3805.0;
450;29891;328;1287.0;Household
451;29892;328;1145.0;Household
452;29893;329;792.0;Household
453;29894;329;3110.0;
454;29895;330;6908.0;Loan payment
455;29896;331;3528.0;Household
456;29897;332;2385.0;Household
457;29898;333;1634.0;Household
458;29899;333;72.0;
459;29900;333;292.0;Insurance payment
460;29901;334;2374.0;Household
461;29902;334;1168.0;
462;29903;335;2697.0;Household
463;29904;336;4067.0;Household
464;29905;338;2252.0;Household
465;29906;339;7801.2;Loan payment
466;29907;339;4087.0;Household
467;29908;339;48.0;
468;29909;340;917.0;Household
469;29910;340;901.0;Household
470;29911;342;2332.0;Household
471;29912;343;2505.0;Household
472;29913;344;4739.0;Household
473;29914;344;1683.0;Loan payment
474;29915;345;8819.0;Household
475;29916;346;7875.0;Household
476;29917;347;7801.2;Loan payment
477;29918;349;4660.0;Household
478;29919;349;3568.0;Loan payment
479;29920;350;3791.0;Household
480;29921;352;1992.0;Household
481;29922;353;2687.0;Household
482;29923;353;879.0;Household
483;29924;354;4771.0;Household
484;29925;355;5012.0;Household
485;29926;355;2927.0;
486;29927;356;4188.0;Household
487;29928;357;1788.0;Household
488;29929;357;280.0;
489;29930;358;532.0;Household
490;29931;358;1434.0;
491;29932;358;27.0;Insurance payment
492;29933;358;73.0;
493;29934;359;3544.0;Household
494;29935;361;1941.0;Household
495;29936;361;1388.0;
496;29937;362;6001.0;Household
497;29938;362;292.0;
498;29939;362;68.0;Insurance payment
499;29940;364;2221.0;Household
500;29941;365;1766.0;Leasing
501;29942;365;11528.0;Household
502;29943;365;1782.0;
503;29944;365;5.0;Insurance payment
504;29945;365;9.0;
505;29946;366;2442.0;Household
506;29947;366;1914.0;
507;29948;366;836.0;Insurance payment
508;29949;366;3188.0;
509;29950;367;6384.0;Household
510;29951;368;4381.0;Household
511;29952;368;742.0;
512;29953;368;269.0;Insurance payment
513;29954;368;217.0;
514;29955;368;1071.0;Leasing
515;29959;370;215.0;Household
516;29960;370;1188.0;
517;29961;370;672.0;Insurance payment
518;29962;372;7785.0;Household
519;29963;372;2148.0;
520;29964;373;6452.0;Household
521;29965;375;3824.0;Household
522;29966;376;7097.0;Household
523;29967;378;3840.2;Loan payment
524;29968;378;8537.0;Household
525;29969;378;1184.0;
526;29970;378;2.0;Insurance payment
527;29971;378;4.0;
528;29972;379;1561.0;Household
529;29973;379;434.0;
530;29974;379;177.0;Insurance payment
531;29975;379;312.0;
532;29979;382;2235.0;Household
533;29980;382;27.0;
534;29981;382;14.0;Insurance payment
535;29982;383;2057.0;Household
536;29983;384;2304.1;Leasing
537;29984;385;2160.0;Household
538;29985;385;31.0;
539;29986;385;121.0;Insurance payment
540;29987;386;4711.0;Household
541;29988;388;6524.0;Household
542;29989;389;884.0;Household
543;29990;389;3280.0;
544;29991;390;4977.0;Household
545;29992;392;1407.0;Household
546;29993;392;5663.0;
547;29994;393;302.0;Household
548;29995;393;5920.0;
549;30001;395;3871.0;Household
550;30002;395;4036.0;
551;30003;395;828.0;Leasing
552;30004;396;5245.0;Household
553;30005;396;68.0;
554;30006;396;308.0;Insurance payment
555;30007;396;261.0;
556;30008;398;1702.0;Household
557;30009;399;3090.5;Leasing
558;30010;399;6009.0;Household
559;30011;400;6948.0;Household
560;30012;401;3600.0;Household
561;30013;401;1769.0;
562;30014;402;2083.0;Household
563;30015;402;2211.0;
564;30016;403;2401.0;Household
565;30017;404;1563.0;Household
566;30018;404;3450.0;
567;30019;405;1339.0;Leasing
568;30020;405;9632.0;Household
569;30021;405;1497.0;
570;30022;405;3579.0;Insurance payment
571;30023;406;1800.0;Household
572;30024;406;264.0;
573;30025;407;5411.0;Household
574;30026;407;14.0;
575;30027;408;5042.0;Household
576;30028;409;6810.0;Household
577;30029;410;3825.0;Household
578;30030;411;8499.0;Household
579;30031;412;8727.0;Household
580;30032;413;2107.0;Household
581;30033;414;7870.0;Household
582;30034;415;8740.0;Household
583;30035;416;982.0;Household
584;30036;416;987.0;Household
585;30037;418;9316.0;Household
586;30038;420;7192.0;Household
587;30039;421;5571.0;Household
588;30040;423;1942.0;Household
589;30041;424;4591.0;Household
590;30042;425;2390.0;Household
591;30043;425;806.0;
592;30044;425;64.0;Insurance payment
593;30045;426;4201.2;Loan payment
594;30046;426;7497.0;Household
595;30047;426;886.0;
596;30048;427;8166.0;Household
597;30049;428;3987.0;Household
598;30050;429;5286.0;Household
599;30051;431;6482.0;Household
600;30052;431;715.0;
601;30053;434;5666.0;Household
602;30054;434;1637.0;
603;30055;435;3189.0;Household
604;30056;436;4885.0;Household
605;30057;436;72.0;
606;30058;436;293.0;Insurance payment
607;30059;437;2248.0;Household
608;30060;437;3106.0;
609;30061;440;5825.0;Household
610;30062;440;1756.0;Loan payment
611;30063;441;4473.0;Leasing
612;30064;441;3041.0;Household
613;30065;441;765.0;
614;30066;442;7455.0;Loan payment
615;30067;442;5606.0;Household
616;30068;442;2068.0;
617;30069;443;1508.0;Household
618;30070;443;463.0;
619;30071;443;67.0;Insurance payment
620;30072;444;4469.0;Household
621;30073;445;3998.0;Household
622;30074;445;7567.0;
623;30075;446;6941.0;Household
624;30076;447;5554.0;Household
625;30077;447;554.0;Leasing
626;30080;449;164.0;Household
627;30081;449;1789.0;Household
628;30082;450;2404.0;Household
629;30083;451;7208.0;Loan payment
630;30084;452;5058.0;Household
631;30085;452;375.0;
632;30086;453;7012.0;Household
633;30087;454;5687.0;Household
634;30088;455;8339.0;Household
635;30089;456;4783.1;Leasing
636;30092;458;9586.0;Household
637;30093;458;1031.0;Leasing
638;30094;460;3554.0;Household
639;30095;461;1530.0;Household
640;30096;462;8325.0;Household
641;30097;463;6385.0;Household
642;30098;464;3509.0;Household
643;30099;465;1278.5;Leasing
644;30100;465;11126.0;Household
645;30101;467;3937.0;Household
646;30102;467;2895.0;
647;30103;468;3735.0;Household
648;30104;468;499.0;
649;30105;469;2672.0;Household
650;30106;470;3568.0;Household
651;30107;470;630.0;
652;30108;470;1078.0;Insurance payment
653;30109;471;4695.0;Household
654;30110;471;931.0;
655;30111;471;253.0;Insurance payment
656;30112;471;202.0;
657;30113;472;8200.2;Loan payment
658;30114;473;4237.0;Household
659;30115;473;2640.0;
660;30116;473;75.0;Insurance payment
661;30117;473;333.0;
662;30118;474;694.0;Household
663;30119;474;1606.0;
664;30120;475;2760.0;Household
665;30121;477;2660.0;Household
666;30122;477;254.0;
667;30123;477;463.0;Insurance payment
668;30124;478;8137.0;Household
669;30125;479;2064.0;Household
670;30126;480;4687.0;Household
671;30127;480;827.0;Leasing
672;30128;481;64.0;Household
673;30129;481;1825.0;Household
674;30134;483;1940.0;Household
675;30135;484;1652.0;Household
676;30136;484;1995.0;
677;30137;484;108.0;Insurance payment
678;30138;484;1412.0;
679;30139;485;2629.6;Leasing
680;30140;485;7421.0;Household
681;30141;485;1591.0;
682;30142;485;3572.0;Insurance payment
683;30143;487;10684.0;Household
684;30144;489;5608.0;Household
685;30145;490;2042.0;Household
686;30146;491;9090.0;Household
687;30147;494;2629.6;Leasing
688;30148;494;8728.0;Household
689;30149;494;207.0;
690;30153;496;3602.0;Household
691;30154;497;3405.0;Household
692;30157;500;2629.6;Leasing
693;30158;500;3267.0;Household
694;30159;500;539.0;
695;30160;501;4382.7;Loan payment
696;30161;502;2498.0;Household
697;30162;503;7175.0;Household
698;30163;503;1746.0;Leasing
699;30164;504;2308.0;Household
700;30165;505;18.0;Household
701;30166;505;2203.0;
702;30167;506;3011.0;Household
703;30168;506;107.0;
704;30169;506;278.0;Insurance payment
705;30170;506;724.0;
706;30171;508;2480.0;Household
707;30172;509;6261.0;Loan payment
708;30173;510;2442.0;Household
709;30174;510;1319.0;
710;30175;510;1043.0;Insurance payment
711;30176;511;2629.6;Leasing
712;30177;512;9449.0;Household
713;30178;513;7908.0;Household
714;30179;514;5760.0;Household
715;30180;515;2750.0;Household
716;30181;516;3736.0;Household
717;30182;517;9255.0;Household
718;30183;518;1338.0;Household
719;30184;518;2015.0;Household
720;30185;519;3245.0;Household
721;30186;520;2332.0;Household
722;30187;521;4234.0;Household
723;30188;522;77.0;Household
724;30189;522;4930.0;
725;30190;524;5768.0;Household
726;30191;525;4382.7;Loan payment
727;30192;525;6454.0;Household
728;30193;526;5074.0;Household
729;30195;528;2916.0;Household
730;30196;529;3344.0;Household
731;30197;531;2144.0;Household
732;30198;533;1319.0;Household
733;30199;533;3427.0;
734;30200;534;1747.0;Household
735;30201;534;713.0;
736;30202;534;1341.0;Insurance payment
737;30203;535;7021.0;Household
738;30204;535;62.0;
739;30205;535;765.0;Insurance payment
740;30206;536;1742.0;Household
741;30207;536;827.0;Household
742;30208;537;1848.0;Household
743;30209;538;2692.0;Household
744;30210;541;3030.0;Household
745;30211;541;72.0;
746;30212;541;5626.0;Insurance payment
747;30213;542;2750.0;Household
748;30214;543;647.0;Household
749;30215;543;1086.0;
750;30216;543;655.0;Insurance payment
751;30217;544;3798.2;Loan payment
752;30218;545;3306.0;Household
753;30219;546;2940.0;Household
754;30220;547;2273.0;Household
755;30221;548;1285.0;Household
756;30222;548;528.0;Household
757;30223;549;1067.0;Household
758;30224;549;3024.0;
759;30225;550;1247.0;Household
760;30226;550;349.0;Household
761;30227;552;2097.0;Household
762;30228;555;7218.0;Household
763;30229;555;479.0;
764;30230;555;71.0;Insurance payment
765;30231;557;2050.0;Household
766;30232;558;4081.0;Household
767;30233;558;1476.0;
768;30234;559;2175.0;Household
769;30235;560;5683.0;Household
770;30236;561;343.0;Household
771;30237;561;1308.0;Household
772;30238;563;6245.0;Household
773;30239;564;295.0;Household
774;30240;564;8713.0;
775;30241;565;3509.0;Household
776;30242;568;1408.0;Leasing
777;30243;569;2074.0;Household
778;30244;570;6273.0;Household
779;30245;571;3255.0;Household
780;30246;572;5372.0;Household
781;30247;572;960.0;
782;30248;572;349.0;Insurance payment
783;30249;572;1413.0;Leasing
784;30250;573;2249.0;Leasing
785;30251;575;756.0;Household
786;30252;575;5329.0;
787;30253;576;3662.0;Household
788;30254;577;5120.0;Household
789;30255;578;5484.0;Household
790;30256;578;601.0;
791;30257;578;17.0;Insurance payment
792;30258;578;57.0;
793;30259;579;2771.0;Household
794;30260;579;1065.0;
795;30261;580;3571.0;Household
796;30262;580;1715.0;
797;30263;581;1502.0;Household
798;30264;582;2812.0;Household
799;30266;584;2302.0;Household
800;30267;588;3141.0;Household
801;30268;588;1437.0;
802;30269;588;511.0;Insurance payment
803;30270;589;5746.0;Household
804;30271;591;2788.0;Household
805;30272;592;1148.0;Household
806;30273;592;460.0;Household
807;30274;594;2054.0;Household
808;30275;595;4702.0;Household
809;30276;597;6135.0;Household
810;30277;598;7781.0;Household
811;30278;599;3118.0;Household
812;30279;599;967.0;
813;30280;600;5952.0;Household
814;30281;601;2230.0;Household
815;30282;602;3191.0;Household
816;30283;603;4361.0;Household
817;30284;605;6876.0;Household
818;30285;606;7140.0;Household
819;30286;606;1071.0;
820;30287;607;2082.0;Household
821;30288;608;2895.0;Household
822;30289;609;1171.0;Household
823;30290;609;732.0;
824;30291;609;67.0;Insurance payment
825;30292;611;2284.0;Household
826;30293;612;1936.0;Household
827;30294;614;1664.0;Household
828;30295;615;309.0;Household
829;30296;615;1787.0;
830;30297;616;1869.0;Household
831;30298;617;2607.2;Leasing
832;30299;617;13080.0;Household
833;30300;618;747.0;Household
834;30301;618;3035.0;
835;30302;619;1729.0;Household
836;30303;619;6538.0;
837;30304;621;366.0;Household
838;30305;621;3043.0;
839;30306;622;6255.0;Household
840;30307;622;594.0;
841;30308;622;2568.0;Insurance payment
842;30309;622;11.0;
843;30310;623;419.0;Household
844;30311;623;1653.0;
845;30312;625;2607.2;Leasing
846;30313;625;11457.0;Household
847;30314;626;3639.0;Household
848;30315;627;8228.0;Household
849;30316;627;554.0;Leasing
850;30317;628;3028.0;Household
851;30318;629;1207.0;Household
852;30319;629;1500.0;Household
853;30320;630;2361.0;Household
854;30321;631;2394.0;Household
855;30322;632;842.0;Household
856;30323;632;199.0;
857;30324;632;1092.0;Insurance payment
858;30325;633;3177.0;Household
859;30327;635;1683.0;Household
860;30328;635;2707.0;
861;30329;635;2160.0;Insurance payment
862;30330;635;1547.0;
863;30331;636;3056.0;Household
864;30332;637;1934.0;Household
865;30333;638;2487.0;Household
866;30334;638;4668.0;
867;30335;638;873.0;Insurance payment
868;30336;639;2046.0;Household
869;30337;640;2891.0;Household
870;30338;641;3330.0;Household
871;30340;644;946.0;Household
872;30341;644;1026.0;
873;30342;645;13466.0;Household
874;30343;646;4876.0;Household
875;30344;647;6465.0;Household
876;30345;648;9240.0;Household
877;30346;649;3430.1;Leasing
878;30347;650;1697.0;Household
879;30348;651;2652.0;Household
880;30349;651;4062.0;
881;30350;652;7591.0;Household
882;30351;653;5397.0;Household
883;30352;654;2885.0;Household
884;30353;655;1899.0;Household
885;30354;655;2036.0;
886;30355;655;193.0;Insurance payment
887;30356;655;341.0;
888;30357;656;5477.0;Household
889;30358;657;1066.0;Household
890;30359;657;1862.0;
891;30360;658;2703.0;Household
892;30361;659;1833.0;Household
893;30362;659;107.0;
894;30363;660;1234.0;Household
895;30364;660;5338.0;
896;30367;662;3330.0;Household
897;30370;664;2997.0;Household
898;30371;665;4149.0;Household
899;30372;666;3936.0;Household
900;30373;666;2282.0;
901;30374;666;955.0;Insurance payment
902;30375;666;1045.0;Loan payment
903;30386;669;1947.0;Household
904;30390;673;4586.0;Household
905;30391;674;2058.0;Household
906;30392;675;6358.0;Household
907;30393;675;1704.0;Loan payment
908;30394;676;3017.0;Household
909;30395;678;1192.0;Household
910;30396;678;1929.0;
911;30397;678;1967.0;Insurance payment
912;30398;679;4049.0;Household
913;30399;679;450.0;
914;30400;679;281.0;Insurance payment
915;30401;680;4853.0;Household
916;30404;682;1477.0;Household
917;30405;682;537.0;
918;30406;683;8578.0;Household
919;30407;684;1936.0;Household
920;30408;685;3847.2;Leasing
921;30409;686;2212.0;Household
922;30410;686;2875.0;
923;30411;686;983.0;Insurance payment
924;30412;687;1444.0;Household
925;30413;687;3998.0;
926;30414;688;2509.0;Household
927;30415;689;3847.2;Leasing
928;30416;689;4989.0;Household
929;30417;689;1388.0;
930;30418;689;17.0;Insurance payment
931;30419;689;16.0;
932;30420;690;7152.0;Household
933;30421;690;1749.0;Leasing
